"seqnames" "start" "end" "width" "strand"
"chr15" 75941286 75941286 1 "+"
"chr15" 75941320 75941320 1 "+"
"chr15" 75941334 75941334 1 "+"
"chr15" 76171462 76171462 1 "+"
"chr15" 76191808 76191808 1 "+"
"chr15" 76196280 76196280 1 "+"
"chr15" 76225615 76225615 1 "+"
"chr15" 76225636 76225636 1 "+"
"chr15" 76496289 76496289 1 "+"
"chr15" 77224725 77224725 1 "+"
"chr15" 77239796 77239796 1 "+"
"chr15" 77240811 77240811 1 "+"
"chr15" 77241448 77241448 1 "+"
"chr15" 77777534 77777534 1 "+"
"chr15" 77777822 77777822 1 "+"
"chr15" 78461774 78461774 1 "+"
"chr15" 78461792 78461792 1 "+"
"chr15" 78462138 78462138 1 "+"
"chr15" 78462269 78462269 1 "+"
"chr15" 78462407 78462407 1 "+"
"chr15" 78462576 78462576 1 "+"
"chr15" 78462595 78462595 1 "+"
"chr15" 78764204 78764204 1 "+"
"chr15" 78768624 78768624 1 "+"
"chr15" 78768669 78768669 1 "+"
